| Contenidos | 1º | 2º |
| La comunidad como el espacio en el que se vive y se encuentra la escuela. | Ubica algunos referentes del lugar donde vive y se encuentra la escuela. | Identifica las ventajas que conlleva: la seguridad, el intercambio, el sentido de pertenencia, la afectividad, el ser parte de una comunidad, barrio, unidad habitacional u otros espacios y grupos sociales. |
| | Platica sobre las características geográficas, climáticas, ambientales, socioculturales y lingüísticas de su comunidad y escuela. | Reconoce diferentes problemáticas sociales y ambientales sociales y ambientales de su comunidad, y reflexiona sobre algunas acciones para solucionarlas. |
| Actitudes y prácticas que prevalecen entre los hombres y las mujeres en las familias, la escuela y la comunidad. | Platica acerca de la organización de las responsabilidades y tareas en su familia. | Analiza las situaciones acerca de la participación de hombres y mujeres, en las actividades familiares, incluyendo el sostenimiento económico. |
| | Identifica la importancia de la participación equilibrada entre hombres y mujeres, adultos, niñas y niños en la cotidianeidad familiar. | Reconoce la aportación de mujeres y hombres, en las actividades de la escuela y la comunidad. |
| Efectos de la pandemia de COVID-19 en las familias, la escuela y la comunidad. | Comenta y reflexiona con sus compañeras y compañeros, acerca de los cambios que se produjeron durante la pandemia, en las actividades familiares, escolares y comunitarias, como: el uso de los espacios, el tiempo, las formas de comunicación, entre otros. | Expresa, mediante deiferentes recursos, sus experiencias sobre los cambios en la vida y las actividades durante la pandemia en las familias, la escuela y la comunidad. |
| |  | Reflexiona en torno a sus experiencias en cuanto al aprendizaje en línea, cambios en las relaciones con sus pares y nuevas formas de comunicación a través de las tecnologías digitales. |
| Historia personal y familiar. | Platica sobre sucesos de su historia personal y familiar y los ordena en antes, después y ahora. | Escribe acerca de sucesos de su historia personal y familiar y los apoya con dibujos, fotografías o imágenes, ordenados cronológicamente. |
| Sentido de pertenencia a la familia y la comunidad. | Identifica aspectos de la historia familiar y de la comunidad compartidos. | Entrevista a familiares o integrantes de su comunidad acerca de los aspectos que se comparten entre todas y todos. |
| | Reconoce y comparte valores como: la solidaridad, la participación, la reciprocidad, el respeto, entre otros, así como estilos socioculturales propios de su familia y comunidad. | Redacta breves textos acerca de lo que les es común a los miembres de la familia y la comunidad. |
| |  | Responde sobre ¿quiénes somos? ¿de dónde somos? Y ¿qué tenemos en común? |
| Formas de ser, pensar, actuar y relacionarse. | Reconoce y descubre sus características y cambios (corporales, gustos, intereses, habilidades, necesidades y capacidades) que le hacen una persona única, con la finalidad de valorar y respetar la diversidad. | Explora sus posibilidades y las de otras personas para mostrar empatía acerca de las situaciones y condiciones que inciden en el desarrollo personal y colectivo. |
| Construcción del proyecto de vida. | Explica situaciones cotidianas que se presentan en la escuela y la casa, con la intención de proponer acuerdos que generen una mejor convivencia. | Explora necesidades e intereses al expresar lo que significan individual y colectivamente para definir metas a lograr, que contribuyan a su atención. |
| | Identifica las necesidades y logros que ha tenidos en diferentes momentos en su historia, para comparar los cambios que inciden en el desarrollo de la autonomía y una mayor participación. | Reconoce logros al participar en diferentes situaciones familiares y escolares para replantear su actuación en favor de una mayor confianza, seguridad y bienestar. |
| Educación Integral en Sexualidad. | Reflexiona acerca de las diversas formas de ser y actuar de los hombres y mujeres a partir de distintas situaciones cotidianas, para reconocer manifestaciones en favor de una interacción respetuosa y convivencia sana. | Diferencia manifestaciones y prácticas presentes en distintos ámbitos (escolar, laboral, social, cultural y otros), para reconocer aquellas que inciden en la construcción de la identidad de género. |
| Capacidades y habilidades motrices. | Utiliza patrones básicos de movimiento ante situaciones que implican explorar los diferentes espacios, el tiempo y los objetos, para favorecer el conocimiento de sí. | Combina diversos patrones básicos de movimiento para actuar con base en las características de cada juego o situación. |
| Posibilidades cognitivas, expresivas, motrices, creativas y de relación. | Explora acciones motrives expresivas en juegos y situaciones cotidianas que implican equilibrio, orientación espacial-temporal y coordinación motriz, para mejorar el conocimiento de sí. | Experimenta acciones que implican comunicación y expresión por medio del cuerpo, para asignar un carácter personal a sus movimientos y mejorar la interacción. |
| Estilos de vida activos y saludables. | Participa en diferentes juegos para explorar alternativas que le permitan mantener una vida activa y saludable. | Reconoce propuestas lúdicas o expresivas que foementan su disfrute y práctica cotidiana para favorecer una vida activa y saludable. |
| Pensamiento lúdico. Divergente y creativo. | Busca distintas soluciones ante una misma situación de juego o cotiana, con la intención de poner en práctica la creatividad. | Propone soluciones ante retos y conflictos que se presentan en juegos y actividades, para promover la participación, el respeto y la colaboración. |
| Interacción motriz | Colabora en la definición de normas básicas de convivencia para reconocer su influencia en la interacción presente en juegos y situaciones cotidianas. | Reflexiona acerca de las normas básicas de convivencia en el juego y las actividades cotidianas, con el propósito de asumir actitudes que fortalezcan la interacción. |
| Acciones individuales que repercuten en la conservación y mejora de la salud. | Reconoce la importancia de la práctica de hábitos de higiene y limpieza en el cuidado personal, así como de otros seres vivos, con la intención de contribuir a la prevención de problemas de salud. | Reflexiona acerca de situaciones y comportamientos que ponen en riesto la salud, para promover acciones orientadas a los cuidados personales. |
| | Explica la importancia de incluir alimentos saludables de los distintos grupos para colaborar en la modificación de hábitos de consumo personales y familiares que favorecen la salud. | Compara alimentos naturales y frescos, procesados y ultraprocesados que se consumen en su familia y la escuela, para valorar aquellos que contribuyen a mantener la salud. |
| | Intercambia experiencias acerca de situaciones de riesgo, para compartir acciones encaminadas a su prevención. | Socializa alternativas de solución ante riesgo de accidentes, dependencias y formas de violencia, para valorar aquellas que puede llevar a cabo en su familia y la escuela. |
| Sentido de comunidad y satisfacción de necesidades humanas. | Indaga acerca de ideas, conocimientos, prácticas culturales, formas de organización y acuerdos familiares para compartir su importancia. | Reconoce ideas, conocimientos, prácticas culturales y formas de organización, para explicar el significado que tienen en su familia y comunidad. |
| | Compara necesidades de las familias en diferentes contextos y las formas de utilizar el cuerpo u organizarse en su satisfacción, para explicar cambios y mejoras que se han presentado. | Identifica las necesidades de su comunidad y las formas de satisfacerlas a partir del uso del cuerpo o los objetos y la orgnización de las personas para explorar otras alternativas de atenderlas. |
| Situaciones de riesto social en las familias, escuela y comunidad. | Reconoce situaciones de riesgos sociales en las familias, la escuela y la comunidad, así como la importancia del autocuidado, la no violencia y la convivencia pacífica. | Propone prácticas de autocuidado, de no violencia y convivencia pacífica. |
| |  | Identifica personas e instituciones que pueden ayudar en situaciones de riesgo. |
| Prácticas de prevención y respuesta ante desastres ambientales. | Participa en las prácticas familiares de prevención y respuesta ante fenómenos naturales que ponen en riesgo su integridad. | Elabora y redacta acuerdos y normas, para actuar adecuadamente ante situaciones de desastres ambientales en su contexto. |
| Apoyos mutuos para favorecer los aprendizajes en el aula diversa. | Identifica y valora la presencia de diferentes lenguas y lenguajes en el aula y ofrece apoyos a sus pares, si es necesario. | Formula opciones de apoyo a sus pares, ante condiciones personales diferentes: lenguas, lenguajes, movilidad, entre otras. |
| Aproximación a las tecnologías de la información y la comunicación. | Reconoce las tecnologías que se utilizan en su entorno y los beneficios que proporcionan en la comunicación y el aprendizaje. | Utiliza las tecnologías de la información y la comunicación para investigar temas de su interés. |
| |  | Comparte y organiza la información investigada con sus compañeras y compañeros. |
| Los afectos y su influencia en el bienestar. | Conoce las emociones básicas, su función y reacciones fisiológicas, para interactuar con sus pares. | Considera las reacciones emocionales para la toma de decisioens de forma asertiva ante situaciones de la vida diaria, con el fin de lograr bienestar individual y colectivo. |
| | Reconoce emociones básicas en él o ella y en las demás personas, con el fin de identificar situaciones donde se necesite pedir u ofrecer ayuda. | Reflexiona sobre experiencias personales en las que las emociones le ayudaron en la resolución de situaciones cotidianas. |
