| Contenidos | 1º | 2º |
| Escritura de nombres en la lengua materna. | Escribe su nombre y lo compara con los nombres de sus compañeros, lo usa para indicar la autoría de sus trabajos, marcar sus útiles escolares, registrar su asistencia, entre otros. | Escribe su nombre y apellidos y de sus familiares, profesoras y profesores, pares y otras personas de su entonro para indicar autoría, pertenencia e identidad. |
| | Identifica nombres más largos o cortos que el suyo, nombres que empiezan o terminan con la misma letra que el propio, sus iniciales, el diminutivo de su mundo etcétera. | Compara características de c, s, z, b, v, h, g, j, i, y, ll, k, q, r, rr, w, x, etcétera. |
| Lectura compartida en voz alta | Reconoce que se lee y escribe de izquierda a derecha y de arriba abajo. | Relee o pide que le relean en voz alta algún fragmento o pasaje para comprender mejor el significado de lo leído. |
| | Sigue la lectura en voz alta que hace la o el maestro (u otras personas alfabetizadas) de recados, cartas, cuentos, notas informativas, poemas, canciones, anuncios publicitarios, instructivos, etcétera. | Comenta con otras personas el contenido de textos que ha escuchado: actitudes de los protagonistas de una historia; datos o situaciones interesantes; alternativas para resolver un problema o atender una necesidad; experiencias personales, reportes sobre noticias, etcétera. |
| | Establece correspondencias entre oralidad y escritura. | Lee en voz alta, para otros y para sí, diversos textos, como cuentos, poemas, canciones, notas informativas, cartas, anuncios publicitarios, etcétera. |
| | Hace comentarios y preguntas sobre textos que escucha y acerca de palabras o ideas que no entiende. |  |
| | Verifica o confirma información, acerca del contenido de textos, mediante la relectura de fragmentos o textos completos. |  |
| | Lee en voz alta letrero, carteles, recados, mensajes y otros textos de su elección. |  |
| Narración de actividades y eventos relevantes que tengan lugar en la familia, la escuela o el resto de la comunidad. | Relata historias relacionadas con actividaddes y eventos que tienen lugar en su entorno inmediato, cuidando el orden lógico de los hechos y el volumen de voz. | Narra actividades y eventos que han tenido lugar en la escuela, empleando una organización temporal y causal. |
| | Identifica la secuencia de acciones y a los protagonistas y otros personajes involucrados en una historia. | Narra actividades y eventos que han tenido lugar en la escuela, empleando una organización temporal y causal. |
| | Reconoce que, para que una narración se entienda, debe cuidarse tanto la coherencia como la claridad de lo que se expresa. | Regula, al narrar, las formas de expresarse, cuidando la claridad, secuencia de ideas y precisión. |
| | Responde preguntas que le hacen sobre su narración | Regula, al narrar, las formas de expresarse, cuidando la claridad, secuencia de ideas y precisión. |
| | Recrea y comparte una historia personal con viñetas conformadas de dibujo y texto, cuidando el orden lógico de los hechos. | Recrea y comparte un evento de la escuela con viñetas constituidas por dibujo y texto, cuidando el orden temporal y causal. |
| Escritura colectiva por medio del dictado | Reconoce espacios, alineación y direccionalidad, izquierda-derecha y arriba-abajo, entre palabras y enunciados. | Produce diferentes textos de manera colectiva, mediante el dictado, tomando en cuenta el propósito comunicativo, las y los destinatarios y los tipos de texto. |
| | Escribe, aunque no de manera convencional, ideas que quiere comunicar y las verbaliza para colaborar en la escritura colectiva de diferentes tipos de texto por medio del dictado al docente. | Elabora colectivamente cuentos, versos rimados y otros textos con secuencia lógica, descripción de personajes y lugares. |
| | Identifica palabras que se repiten en distintos textos o en diferentes partes de un mismo texto y descubre que se escriben de la misma forma. | Reconoce distintas formas de organización en los diferentes tipos de texto. |
| | Establece correspondencias entre oralidad y escritura. | Identifica otros signos que acompañan a las letras en la escritura (interrogación, exclamación, puntos, comas, vírgula, etcétera). |
| |  | Identifica otros signos que acompañan a las letras en la escritura (interrogación, exclamación, puntos, comas, vírgula, etcétera). |
| Descripción de objetos, lugares y seres vivos. | Describe de manera oral y/o escrita, en su lengua materna, objetos, lugares y seres vivos reales o ficticios. | Describe de forma oral y escrita, en su lengua materna, objetos, lugares y seres vivos de su entorno natural y social. |
| | Representa objetos, lugares y seres vivos de forma plástica, sonora, corporal, teatral y/o por medio de otros lenguajes artísticos. | Representa objetos, lugares y seres vivos de forma plástica, sonora, corporal, teatral y/o por medio de otros lenguajes artísticos. |
| Uso de convenciones de la escritura presentes en la cotidianeidad. | Distingue letras de números u otros signos o marcas gráficas que identifica y traza en textos de uso cotidiano. | Identifica letras en textos escritos en español y en lengua(s) indígena(s). |
| | Reconoce espacios, alineación y direccionalidad, izquierda-derecha y arriba-abajo, entre palabras y enunciados. | Diferencia convenciones de la escritura en español y en alguna(s) lengua(s) indígena(s). |
| | Comprender que cada letra tiene varias posibilidades de escritura: mayúsculas, minúsculas o variaciones de estilo. | Reconoce letras que pueden relacionarse con sonidos diferentes, así como sonidos equivalentes que pueden relacionarse con letras distintas y asocia los sonidos vocálicos y consonánticos con sus letras correspondientes. |
