| Contenidos | 3º | 4º |
| Estructura y funcionamiento del cuerpo humano: sistemas locomotor y digestivo, así como prácticas para su cuidado, desde su contexto sociocultural. | Identifica y describe que el sistema locomotor está conformado por el sistema óseo (huesos y columna vertebral) y el sistema muscular (músculos y articulaciones), y que sus funciones se relacionan con el soporte, protección y movimiento del cuerpo. | Identifica y describe la estructura y funciones del sistema digestivo, así como su relación con el sistema circulatorio, a partir de representar la ruta de los alimentos durante la ingestión, abosorción y transporte de nutrimentos, y los órganos que participan en estos procesos. |
| | Explica y representa el funcionamiento del sistema locomotor, con modelos que muestran la acción coordinada de los sistemas óseo, muscular y nervioso, en el movimiento del cuerpo. | Describe la participación de la saliva y los jugos gçastricos en la transformación de los alimentos, a partir de experimentar con agua, vinagre, jugo de limón y diversos alimentos. |
| | Describe acciones y prácticas socioculturales para el cuidado del sistema locomotor y la prevención de accidentes y lesiones, reconoce la importancia de la postura correcta, de acudir a los servicios de salud y evitar la automedicación. | Reconoce prácticas socioculturales como la herbolaría, para la atención de malestares e infecciones del sistema digestivo y práctica acciones para su cuidado. |
| Estructura y funcionamiento del cuerpo humano: sistema sexual, cambios en la pubertad e implicaciones socioculturales. | Describe semejanzas y diferencias entre los órganos sexuales de las personas, sus nombres correctos y en su lengua materna, e identifica que estos determinan el sexo biológico; propone o practica acciones y hábitos de higiene para su cuidado como parte de la salud sexual. | Indaga, describe y representa mediante modelos, los caracteres sexuales primarios y secundarios, al comparar los cuerpos de niñas y niños con los de los adolescentes; establece relaciones entre los cambios que se presentan durante la pubertad y la adolescencia, con el desarrollo biológico del ser humano. |
| | Comprende que los cuerpos cambian a lo largo del tiempo, al reconocer la variabilidad en tamaño, forma, funciones y características; explica que todas las culturas tienen maneras diferentes de ver los cuerpos y que todos merecen respeto, incluido el de las personas con discapacidad, como parte del derecho a una vida libre de violencia. | Comprende la importancia de llevar a cabo hábitos de higiene de los sistemas sexuales, práctica acciones de autocuidado y toma de decisiones para fortalecerlas. |
| |  | Comprende que la menstruación es un ciclo natural de desarrollo físico de las niñas a partir de describir y representar sus fases; explica la diversidad de síntomas físicos y sensaciones que se pueden experimentar, algunas creencias y tabúes alrededor de ésta, así como medidas de cuidado e higiene personal. |
| |  | Comprende que la menstruación es un ciclo natural de desarrollo físico de las niñas a partir de describir y representar sus fases; explica la diversidad de síntomas físicos y sensaciones que se pueden experimentar, algunas creencias y tabúes alrededor de ésta, así como medidas de cuidado e higiene personal. |
| Alimentación saludable, con base en el Plato del Bien Comer, así como prácticas culturales y la toma de decisiones encaminadas a favorecer la salud y el medio ambiente y la economía familiar. | Explica la importancia del consumo de una alimentación higiénica y variada que incluya verduras y frutas, cerelares y tubérculos; leguminosas y alimentos de origen animal acorde con al Plato del Bien Comer y sus prácticas culturales, para el buen funcionamiento del cuerpo. | Indaga y describe los nutrimentos que proporcionan los alimentos que consume e identifica los que necesita incluir en su alimentación, así como los beneficios para su salud y para realizar sus actividades diarias. |
| | Propone y práctica acciones para favorecer una alimentación saludable, como consumir alimentos naturales, de la localidad y de temporada, en la cantidad recomendada para su edad, beber agua simple potable; disminuir el consumo de alimentos en exceso de grasas, azúcares y sal, entre otras. | Identifica y analiza la influencia de diversos medios de comunicación o redes sociales en el consumo de alimentos con alto contenido de grasa, azúcares y sal, así como su impacto en la salud, y toma de decisiones que mejoren tanto su alimentación como la economía personal y familiar. |
| | Comprende que las personas tienen diferentes necesidades alimentarias, de acuerdo con su edad y actividad física, y que satisfacerlas impacta en la economía familiar. | Reconoce y valora las prácticas culturales, relacionadas con la alimentación saludable presentes en su comunidad, como la milpa y la rotación de cultivos, que favorecen la proudcción y consumo responsable, la obtención de una variedad de alimentos y el cuidado del medio ambiente. |
| |  | Indaga y explica qué productos y alimentos son convenientes adquirir o consumir en su familia, por su costo económico y el impacto medio ambiental que provocan. |
| Interacciones entre plantas, animales y el entorno natural: nutrición y locomoción. | Indaga y describe la locomoción de animales, a partir de reconocer las formas en las que se mueven y desplazan en la búsqueda de alimento, agua o refugio y su relación con las características del lugar donde viven. | Identifica y clasifica animales, con base en su tipo de alimentación: herbívoros, carnívoros y omnívoros y su relación con el lugar donde viven. |
| | Clasifica animales en vertebrados e invertebrados, a partir de sus características y reconoce que los seres humanos pertenecen al grupo de los vertebrados, con base en similitudes y diferencias en la locomoción de otros animales. | Identifica, representa y explica el proceso de nutrición de plantas, en el que intervienen la luz solar, el agua, las sales m inerales y el dióxido de carbono, sin llegar al uso de fórmulas químicas. |
| | Clasifica animales en vertebrados e invertebrados, a partir de sus características y reconoce que los seres humanos pertenecen al grupo de los vertebrados, con base en similitudes y diferencias en la locomoción de otros animales. | Analiza y describre la esctructura de cadenas alimentarias: productores (plantas), consumidores (animales) y descomponedores (hongos y bacterias), así como su relación con el lugar donde habitan. |
| |  | Explica las condiciones del entorno propicias para la existencia y sobrevivencia de plantas y animales, entre ellos el ser humano; reconociendo su compromiso para cuidarlo. |
| Relaciones entre los factores físicos y biológicos que conforman los ecosistemas y favorecen la preservación de la vida. | Describe la importancia del aire, el agua, el suelo y el sol para todos los seres vivos, a partir de representar las relaciones que establecen para su alimentación y protección. | Identifica, representa y explica las interacciones entre los factores biológicos (plantas, animales, incluido el ser humano, hongos y orgnismos microscópicos como bacterias) y los factores físicos (agua, aire, suelo y sol) en la conformación de los ecosistemas. |
| | Reconoce y describe las condiciones en las que se encuentra el aire, el suelo y el agua en el lugar en donde vive; y argumenta acerca del impacto de dichas condiciones en la vida de las plantas, animales y personas. | Compara y describe la dinámica de distintos ecosistemas de México, a partir de la diversidad de seres vivos que habitan en ellos y las características de los factores físicos que los conforman. |
| | Identifica y valora la presencia del aire, agua, suelo y sol en las expresiones culturales de diversas personas y grupos. | Reconoce y explica la importancia de los ecosistemas en la vida cotidiana de las personas y pueblos, así como en sus manifestaciones culturales. |
| Impacto de las actividades humanas en la naturaleza y en la salud. | Indaga y describe el impacto de las actividades humanas del entorno natural del lugar donde vive, y establece relaciones causa-efecto en la naturaleza y en la salud de las personas. | Indaga y describe los problemas de contaminación de agua, aire y suelo, y generación de residuos sólidos en su comunidad; establece relaciones causa-efecto en los ecosistemas, así como en la salud de las personas y en el bienestar de pueblos y culturas. |
| | Indaga saberes y prácticas de diversos pueblos y culturas, para cuidar la naturaleza y establecer una relación armónica. | Propone y practica acciones de consumo responsable para prevenir o mitigar la contaminación de agua, aire y suelo, así como la generación de residuos sólidos. |
| | Propone y practica acciones que favorecen el cuidado de la naturaleza, la salud de las personas y el bienestar animal. | Indaga y describe problemas de contaminación de agua, aire y suelo, y generación de residuos sólidos en su comunidad; establece relaciones causa-efecto en los ecosistemas, así como en la salud de las personas y en el bienestar de pueblos y culturas. |
